URL_PAGINA_ORIGEN;URL_DESTINO_INVALIDA;DESTINO_ACTIVO
https://buenosaires.gob.ar/tramites/programa-ticket-social;https://www.anses.gob.ar/;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/becas-alimentarias-en-linea;https://ash.buenosaires.gob.ar/educacion/escuelas;Ignorado (ash)
https://buenosaires.gob.ar/tramites/solicitud-de-rubrica-habilitacion-de-libros-especiales;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/635959;Enlace funciona
https://buenosaires.gob.ar/tramites/convocatoria-de-proyectos-sociales-2020;https://www.buenosaires.gob.ar/desarrollohumanoyhabitat/fortalecimientodelasociedadcivil/convocatoria-proyectos-sociales;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/solicitud-de-redistribucion-de-usos-para-actividad-economica-autorizada;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/781370;Enlace funciona
https://buenosaires.gob.ar/tramites/inscripcion-al-registro-de-entidades-observadoras-del-consejo-de-planeamiento;https://buenosaires.gob.ar/jefedegobierno/secretaria-asuntos-estrategicos;Enlace no existe en página
https://buenosaires.gob.ar/tramites/generador-eventual-de-residuos-peligrosos-por-sitios-contaminados;https://www.buenosaires.gob.ar/tramites/cajas-habilitadas;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/solicitud-de-certificado-medico-oficial-cmo-para-personas-con-discapacidad;https://www.anses.gob.ar/consultas/consulta-de-expediente;Enlace roto - Error 403
https://buenosaires.gob.ar/tramites/mediacion-en-linea;https://buenosaires.gob.ar/tramites/mediacion-comunitaria-en-linea;Enlace no existe en página
https://buenosaires.gob.ar/tramites/permiso-solicitud-renovacion-de-anuncio-publicitario;https://ash.buenosaires.gob.ar/desarrollourbano/institucional-subsecretaria-de-registros-interpretaciones-y-catastro/dg-interpretacion-urbanistica;Ignorado (ash)
https://buenosaires.gob.ar/tramites/consulta-obligatoria-general;https://www.buenosaires.gob.ar/tramites/consulta-obligatoria-para-inmuebles-en-aph-o-atalogados;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/union-civil-convivencial;https://buenosaires.gob.ar/tramites/autorizacion-para-concretar-matrimonio-union-convivencial-en-caba-de-ciudadanos-casados-y;Enlace no existe en página
https://buenosaires.gob.ar/tramites/impuesto-inmobiliario-exencion-abl-de-interes-historico-o-edilicio-ley-nac-12665;https://ash.buenosaires.gob.ar/legalytecnica/mesadeentradas;Ignorado (ash)
https://buenosaires.gob.ar/tramites/inscripcion-de-las-restricciones-la-capacidad-por-orden-judicial;https://buenosaires.gob.ar/gobierno;Enlace no existe en página
https://buenosaires.gob.ar/tramites/permiso-de-uso-precario-en-centros-de-abastecimiento-municipales-cams;https://buenosaires.gob.ar/justiciayseguridad/registro-deudores-alimentarios;Enlace no existe en página
https://buenosaires.gob.ar/tramites/telon-de-obra;http://www2.cedom.gob.ar/es/legislacion/normas/leyes/ley3136.html;"Enlace roto - Error: HTTPConnectionPool(host='www2.cedom.gob.ar', port=80): Max retries exceeded with url: /es/legislacion/normas/leyes/ley3136.html (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DCFE22E210>: Failed to resolve 'www2.cedom.gob.ar' ([Errno 11001] getaddrinfo failed)""))"
https://buenosaires.gob.ar/tramites/telon-de-obra;http://www2.cedom.gob.ar/es/legislacion/normas/leyes/ley2936.html;"Enlace roto - Error: HTTPConnectionPool(host='www2.cedom.gob.ar', port=80): Max retries exceeded with url: /es/legislacion/normas/leyes/ley2936.html (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x000001DCFE22DA30>: Failed to resolve 'www2.cedom.gob.ar' ([Errno 11001] getaddrinfo failed)""))"
https://buenosaires.gob.ar/tramites/ascenso-de-categoria-de-foguistas;https://mapa.buenosaires.gob.ar/comollego/?lat=-34.628908&lng=-58.369939&zl=15&modo=transporte&dir=Garcia%2C+Martin+Av.+346;Enlace no existe en página
https://buenosaires.gob.ar/tramites/gestion-privada-declaracion-jurada-de-infraestructura;https://docs.google.com/document/d/1_i0ewGTuYLy788Y_2l7tWsVpIkorFsHM_nH6L2-PFjw/edit;Enlace funciona
https://buenosaires.gob.ar/tramites/inscripcion-al-registro-publico-de-administradores-de-consorcios;http://www.afip.gov.ar/sitio/externos/default.asp;Enlace roto - Error: ('Connection aborted.', ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None))
https://buenosaires.gob.ar/tramites/inscripcion-al-registro-publico-de-administradores-de-consorcios;https://ash.buenosaires.gob.ar/justiciayseguridad/registro-deudores-alimentarios;Ignorado (ash)
https://buenosaires.gob.ar/tramites/servicio-funerario-del-gobierno-de-la-ciudad-de-buenos-aires;https://www.buenosaires.gob.ar/tramites/renovaciones-de-nichos-de-ataud-restos-y-cenizas;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/servicio-funerario-del-gobierno-de-la-ciudad-de-buenos-aires;https://www.buenosaires.gob.ar/tramites/cremacion-por-reduccion;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/permiso-de-ejecucion-de-micro-obra-bajo-responsabilidad-profesional;https://ash.buenosaires.gob.ar/tramites/impacto-ambiental;Ignorado (ash)
https://buenosaires.gob.ar/tramites/gestion-privada-rendiciones-del-aporte-estatal;http://www.adeepra.com.ar/documentos/Res163-03.html;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/otorgamiento-de-licencia-de-conducir;https://ash.buenosaires.gob.ar/licenciasdeconducir/casosespeciales/extranjeros;Ignorado (ash)
https://buenosaires.gob.ar/tramites/otorgamiento-de-licencia-de-conducir;https://ash.buenosaires.gob.ar/licenciasdeconducir/casosespeciales/menores;Ignorado (ash)
https://buenosaires.gob.ar/tramites/registro-unico-de-aspirantes-guarda-con-fines-adoptivos-ruaga;https://ash.buenosaires.gob.ar/tramites/registro-unico-de-aspirantes-guarda-con-fines-adoptivos-ruaga;Ignorado (ash)
https://buenosaires.gob.ar/tramites/registro-unico-de-aspirantes-guarda-con-fines-adoptivos-ruaga;https://ash.buenosaires.gob.ar/tramites/solicitud-de-certificado-de-deudor-alimentario;Ignorado (ash)
https://buenosaires.gob.ar/tramites/solicitud-de-denuncia-por-incumplimiento-de-ley-58592017;https://buenosaires.gob.ar/tramites/boletinoficial.buenosaires.gob.ar/normativaba/norma/377206;Enlace no existe en página
https://buenosaires.gob.ar/tramites/residuos-patogenicos;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/583803;Enlace funciona
https://buenosaires.gob.ar/tramites/permiso-de-uso-precario-en-ferias-artesanales;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/37661;Enlace funciona
https://buenosaires.gob.ar/tramites/registro-de-generadores-de-contaminantes-atmosfericos-provenientes-de-fuentes-fijas-ref;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/59418;Enlace funciona
https://buenosaires.gob.ar/tramites/presentacion-mensual-de-pago-de-expensas;https://www.buenosaires.gob.ar/tramites/inscripcion-al-registro-consorcial;Enlace funciona
https://buenosaires.gob.ar/tramites/becas-para-nivel-medio-de-la-ciudad;https://www.becasciudad.buenosaires.gob.ar/inscripcion;Enlace no existe en página
https://buenosaires.gob.ar/tramites/inscripcion-al-registro-del-distrito-tecnologico;https://www.buenosaires.gob.ar/economiayfinanzas/distritoseconomicos/distrito-tecnologico;Enlace roto - Error 404
https://buenosaires.gob.ar/tramites/solicitud-de-turnos-en-centros-de-salud-y-accion-comunitaria-cesac;https://tinyurl.com/Llamaal147;Enlace roto - Error: No connection adapters were found for 'tel:147'
https://buenosaires.gob.ar/tramites/registro-renovacion-de-unidades-de-transportes-alimenticios-uta;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/783724;Enlace funciona
https://buenosaires.gob.ar/tramites/registro-renovacion-de-unidades-de-transportes-alimenticios-uta;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/366071;Enlace funciona
https://buenosaires.gob.ar/tramites/solicitud-de-permiso-de-venta-de-alimentos-en-la-publica;https://buenosaires.gob.ar/tramites/inscripcion-en-el-registro-de-postulantes-para-la-de-venta-de-alimentos-en-el-espacio;Enlace no existe en página
https://buenosaires.gob.ar/tramites/registro-nacional-de-productos-alimenticios-rnpa-registro-nacional-de-establecimientos;https://boletinoficial.buenosaires.gob.ar/normativaba/norma/772866;Enlace funciona
