Name;URLs_encontradas;URL_Invalida
Puede estacionar CTA;['https://buenosaires.gob.ar/movilidad/estacionamiento.'];['https://buenosaires.gob.ar/movilidad/estacionamiento.']
EP03CUX01 Cuidá tu árbol;['https://www.buenosaires.gob.ar/jefaturadegabinete/atencion-y-gestion-ciudadana/gestion-comunal/arbopedia/comunidad/embajadores-de'];['https://www.buenosaires.gob.ar/jefaturadegabinete/atencion-y-gestion-ciudadana/gestion-comunal/arbopedia/comunidad/embajadores-de']
Buscar mi Cesac (Apertura) > Sacar turno en Cesac (Apertura) > Pedir turno * Response - SIGEHO;['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html'];['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html']
DH01CUX03 Aviso legal;['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html'];['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html']
TR03CUX26 Apertura | Compras y Contrataciones - Actualización de datos de proveedores inscriptos (5 trámites juntos);['https://www.buenosaires.gob.ar/tramites/actualizacion-de-proveedores-inscriptos'];['https://www.buenosaires.gob.ar/tramites/actualizacion-de-proveedores-inscriptos']
TU01CUX01 Promoción de hoteles;['https://turismo.buenosaires.gob.ar/es/article/r%C3%A9gimen-de-promoci%C3%B3n-del-sector-hotelero?boti'];['https://turismo.buenosaires.gob.ar/es/article/r%C3%A9gimen-de-promoci%C3%B3n-del-sector-hotelero?boti']
Turismo (Apertura) > Más información (Response) > Ingreso a BA * Response;['https://turismo.buenosaires.gob.ar/es/RequisitosTuristas', 'https://www.argentina.gob.ar/interior/migraciones/ddjj-migraciones'];['https://www.argentina.gob.ar/interior/migraciones/ddjj-migraciones']
EDU04CUX25 Se me bloqueó;['https://www.buenosaires.gob.ar/sarmientoba/alumnos/soporte-tecnico-y-mantenimiento/desbloqueo,', 'https://turnosboletoestudiantil.buenosaires.gob.ar/planSarmiento', 'https://mapa.buenosaires.gob.ar/comollego/?lat=-34.596794&lng=-58.425796&zl=15&modo=transporte&dir=Cordoba+Av.+4174', 'https://mapa.buenosaires.gob.ar/comollego/?lat=-34.633904&lng=-58.470809&zl=15&modo=transporte&dir=Alberdi%2C+Juan+Bautista+Av.+3073', 'https://mapa.buenosaires.gob.ar/comollego/?lat=-34.634661&lng=-58.405380&zl=15&modo=transporte&dir=Castillo%2C+Catulo+2970'];['https://www.buenosaires.gob.ar/sarmientoba/alumnos/soporte-tecnico-y-mantenimiento/desbloqueo,']
 EDU09CUX01 Cursos y talleres;['https://www.buenosaires.gob.ar/educacion/escuelas-verdes/capacitaciones'];['https://www.buenosaires.gob.ar/educacion/escuelas-verdes/capacitaciones']
 EDU09CUX01 Lugares para visitar;['https://www.buenosaires.gob.ar/educacion/escuelas-verdes/visitas'];['https://www.buenosaires.gob.ar/educacion/escuelas-verdes/visitas']
 EDU09CUX01 Ser una Escuela Verde;['https://www.buenosaires.gob.ar/escuelasverdes/para-la-escuela'];['https://www.buenosaires.gob.ar/escuelasverdes/para-la-escuela']
Hisopado * Apertura;['https://www.buenosaires.gob.ar/', 'https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html', 'https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html'];['https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html', 'https://storage.googleapis.com/m-infra.appspot.com/public/gcba/aviso-legal/index.html']
GA02CUX01 Cómo son los precios;['http://www.buenosaires.gob.ar/ambienteyespaciopublico/espacio-publico/ferias/precios-concertados'];['http://www.buenosaires.gob.ar/ambienteyespaciopublico/espacio-publico/ferias/precios-concertados']
TR04CUX23 Pagar presencial;['https://sir.buenosaires.gob.ar/Pagina/CargarPagina/a01d4916-b762-f541-9b80-db98aedf9f5c', 'https://www.bancociudad.com.ar/institucional/?herramienta=geolocalizador', 'https://www.rapipago.com.ar/rapipagoWeb/index.php', 'https://www.e-pagofacil.com/', 'https://www.provincianet.com.ar/donde-pago'];['https://www.bancociudad.com.ar/institucional/?herramienta=geolocalizador']
SE00CUX01 Cómo denunciar;['https://www.fiscalias.gob.ar/en-linea/'];['https://www.fiscalias.gob.ar/en-linea/']
